parameter,min,max,default
dprst_depth_avg,0.01,500,132
dprst_et_coef,0.01,1,1
dprst_flow_coef,0.001,1,0.05
dprst_frac,0.1,0.25,0.2
dprst_frac_init,0.01,0.25,0.2
dprst_seep_rate_clos,0.001,1,0.02
dprst_seep_rate_open,0.001,1,0.02
fastcoef_lin,0.001,1,0.1
fascoef_sq,0.001,1,0.8
op_flow_thres,0.75,1,1
pref_flow_den,0.01,1,0.01
pref_flow_infil_frac,0.01,0.99,0.5
rad_trncf,0.01,1,0.5
slowcoef_lin,0.001,0.5,0.015
slowcoef_sq,0.001,1,0.1
smidx_coef,0.001,0.06,0.005
smidx_exp,0.1,0.5,0.3
snarea_thresh,0.01,200,50
snow_intcp,0.01,1,0.1
soil2gw_max,0.01,5,0.01
soil_moist_init_frac,0.01,1,0.3
soil_moist_max,0.001,10,2
soil_rechr_init_frac,0.01,1,0.1
soil_rechr_max_frac,0.01,1,0.3
srain_intcp,0.01,1,0.1
sro_to_dprst_imperv,0.01,1,0.2
sro_to_dprst_perv,0.01,1,0.2
tmax_cbh_adj,-10,10,0
tmin_cbh_adj,-10,10,0
va_clos_exp,0.001,10,1
va_open_exp,0.001,10,1
wrain_intcp,0.01,1,0.1
